Experiment: 90_10, bias=0, data= 1 
fair_disc for iter 0 is: l2:0.3402597831069667, l1:0.4812, kl:0.120718780580015, ce:0.13169212824126386 
fair_disc_exp for iter 0 is: l2:0.2371753454208374, l1:0.2371753454208374, kl:0.28618450655596583, ce:0.12744915675847512 
fair_disc for iter 1 is: l2:0.32724901833313425, l1:0.46280000000000004, kl:0.11128578956430699, ce:0.12051620351998271 
fair_disc_exp for iter 1 is: l2:0.22888153791427612, l1:0.22888153791427612, kl:0.2747177219589235, ce:0.11757442545621377 
fair_disc for iter 2 is: l2:0.3433710529441875, l1:0.48560000000000003, kl:0.12303939735035879, ce:0.1344676875011842 
fair_disc_exp for iter 2 is: l2:0.23887979984283447, l1:0.23887979984283447, kl:0.2885526276497724, ce:0.12954746377198678 
fair_disc for iter 3 is: l2:0.3453509519315098, l1:0.48839999999999995, kl:0.12452933502313229, ce:0.13625524589355942 
fair_disc_exp for iter 3 is: l2:0.2410016655921936, l1:0.2410016655921936, kl:0.29150617708831106, ce:0.13219353747098428 
fair_disc for iter 4 is: l2:0.32413774849591337, l1:0.4584, kl:0.1090942649039783, ce:0.11794380650087788 
fair_disc_exp for iter 4 is: l2:0.22604817152023315, l1:0.22604817152023315, kl:0.27082197899364496, ce:0.11432312619416696 
fair_disc for iter 5 is: l2:0.339976940394492, l1:0.48079999999999995, kl:0.12050906678945236, ce:0.1314418156575532 
fair_disc_exp for iter 5 is: l2:0.23733055591583252, l1:0.23733055591583252, kl:0.28639998750209317, ce:0.12763893794743997 
fair_disc for iter 6 is: l2:0.3389869909008309, l1:0.47940000000000005, kl:0.1197767066913937, ce:0.13056834312502097 
fair_disc_exp for iter 6 is: l2:0.23712140321731567, l1:0.23712140321731567, kl:0.28610963397114547, ce:0.12738464963166696 
fair_disc for iter 7 is: l2:0.3357342997073728, l1:0.47480000000000006, kl:0.11738827499348034, ce:0.12772687458782184 
fair_disc_exp for iter 7 is: l2:0.234269380569458, l1:0.234269380569458, kl:0.2821561269910297, ce:0.12392285656659585 
fair_disc for iter 8 is: l2:0.33135023766401617, l1:0.46859999999999996, kl:0.1142122810688625, ce:0.12396533981052549 
fair_disc_exp for iter 8 is: l2:0.23042726516723633, l1:0.23042726516723633, kl:0.27684767660223314, ce:0.11936997067658883 
fair_disc for iter 9 is: l2:0.3371485132697458, l1:0.47679999999999995, kl:0.11842335772722593, ce:0.12895694703634886 
fair_disc_exp for iter 9 is: l2:0.23479169607162476, l1:0.23479169607162476, kl:0.2828793342402277, ce:0.12455395054547769 
